algorithm,optimizer,final_accuracy,best_accuracy,final_f1,final_auc
fedavg,adam,0.4964,0.4977,0.4367714891036723,0.9012638888888888
fedavg,adam,0.5574,0.5574,0.5310535056834331,0.90693555
fedavg,adam,0.4121,0.4238,0.3420419035751467,0.8618254666666667
fedavg,adam,0.5704,0.5777,0.5493280201760087,0.9147383333333332
fedavg,adam,0.7117,0.7371,0.7121638961413705,0.952400511111111
fedavg,adam,0.3986,0.4079,0.3950133634799107,0.8119939
fedavg,adam,0.7216,0.7345,0.7210456786762023,0.9562336666666666
fedavg,adam,0.7076,0.7287,0.7050350483486991,0.9513186888888888
fedavg,adam,0.447,0.4612,0.3656891044271818,0.8807700777777778
fedavg,adam,0.5799,0.5848,0.5548327284063623,0.9150013
fedavg,adam,0.5763,0.5824,0.568817628277619,0.9156074833333332
fedavg,adam,0.4928,0.4997,0.4490915189080902,0.891659688888889
fedavg,adam,0.512,0.512,0.5081463660973776,0.8773199111111112
fedavg,adam,0.6362,0.6395,0.6348140490501474,0.9289802833333336
fedavg,adam,0.7376,0.7516,0.7376466388025251,0.9597984166666668
fedavg,adam,0.7214,0.7363,0.7215935331718044,0.9553984111111112
fedavg,adam,0.6127,0.6147,0.6043330337584722,0.9286164333333332
fedavg,adam,0.581,0.581,0.5699024258997042,0.9133876722222224
fedavg,adam,0.5773,0.5782,0.5596299142664813,0.9151430333333334
fedavg,adam,0.5923,0.5942,0.5779441509203365,0.9216364611111112
fedavg,adam,0.452,0.452,0.4054206777749094,0.8923195055555555
fedavg,adam,0.551,0.551,0.5233556024491419,0.9039435833333332
fedavg,adam,0.48,0.48,0.4442244463376187,0.9001476833333332
fedavg,adam,0.4273,0.4273,0.371857035272432,0.8861463500000001
fedavg,adam,0.5622,0.5671,0.5473520176734986,0.9146344277777778
fedavg,adam,0.6005,0.6015,0.5864578632782522,0.9232585166666668
fedavg,adam,0.5358,0.5511,0.5189203096891944,0.9043279444444444
fedavg,adam,0.5592,0.5623,0.5289629110597689,0.9084783666666668
fedavg,adam,0.6562,0.6569,0.654533337134781,0.9412888277777776
fedavg,adam,0.6501,0.6575,0.6433270937379534,0.9378874388888888
fedavg,adam,0.6587,0.6599,0.6568325228716383,0.9412517777777778
fedavg,adam,0.6347,0.6372,0.6356069887200766,0.9340321944444444
fedavg,adam,0.6772,0.6792,0.6700425496072305,0.946311561111111
fedavg,adam,0.6548,0.6548,0.6516781211730105,0.9418655944444444
fedavg,adam,0.6737,0.6737,0.6722252059543642,0.9459232055555556
fedavg,adam,0.6731,0.6739,0.667604481938671,0.944097772222222
fedavg,adam,0.702,0.7294,0.7031311434090991,0.9506033833333334
fedavg,adam,0.636,0.6475,0.6341043139282835,0.9279303222222222
fedavg,adam,0.7243,0.7354,0.7234910262911811,0.9551188166666668
fedavg,adam,0.691,0.712,0.6913386102737922,0.944976088888889
fedavg,adam,0.7077,0.7278,0.7062683510681097,0.9552734277777776
fedavg,adam,0.6996,0.7089,0.6991038912535968,0.9529912222222222
fedavg,adam,0.6542,0.6895,0.6567820090426846,0.9403008111111112
fedavg,adam,0.6615,0.6658,0.6586426138230911,0.9417869111111112
fedavg,adam,0.7088,0.7322,0.7082147304282203,0.9539410499999998
fedavg,adam,0.6883,0.7105,0.6887346357832022,0.9461353888888888
fedavg,adam,0.7288,0.7413,0.7268897225653494,0.9571458777777778
fedavg,adam,0.6477,0.6649,0.6471868302004458,0.9313828444444444
fedavg,adam,0.6987,0.7145,0.6971849245871379,0.950054377777778
fedavg,adam,0.7011,0.7133,0.7018784566757967,0.950401911111111
fedavg,adam,0.6612,0.6722,0.660695898077395,0.9376900944444444
fedavg,adam,0.7032,0.7145,0.702814275321711,0.9500644055555554
fedavg,adam,0.7009,0.7035,0.6990107472530231,0.9499202944444444
fedavg,adam,0.6878,0.6924,0.6845732609644044,0.9476852888888888
fedavg,adam,0.7127,0.7166,0.7114785532055278,0.9536308555555554
fedavg,adam,0.6944,0.7017,0.6925057629611922,0.9481393722222222
fednova,adam,0.5318,0.5443,0.4706607225509363,0.9017634166666668
fednova,adam,0.598,0.5992,0.5814912182975233,0.9145669666666668
fednova,adam,0.5445,0.5482,0.5104628561989049,0.9030124888888889
fednova,adam,0.4811,0.4908,0.4489381057479596,0.8799302277777776
fednova,adam,0.1724,0.4848,0.1250177336487849,0.6592286055555555
fednova,adam,0.5402,0.6116,0.5283375219823696,0.9227231055555556
fednova,adam,0.1369,0.3623,0.0734283215986668,0.5878040499999999
fednova,adam,0.1,0.2897,0.0181818181818181,0.5
fednova,adam,0.5666,0.5962,0.5449243156973612,0.9209531333333332
fednova,adam,0.4125,0.4147,0.3991679790082401,0.8784574444444445
fednova,adam,0.5367,0.5367,0.5069176803616225,0.9129872166666668
fednova,adam,0.2794,0.3565,0.223469179496866,0.8030037777777776
fednova,adam,0.1989,0.4582,0.1303176053761183,0.704223488888889
fednova,adam,0.169,0.388,0.078555600565197,0.7147301722222222
fednova,adam,0.2543,0.336,0.1988366049230129,0.7028400499999999
fednova,adam,0.2254,0.3181,0.1702684570699119,0.7201308722222222
fednova,adam,0.5938,0.6071,0.5893550613461833,0.9218043333333334
fednova,adam,0.569,0.5898,0.5577526177170233,0.9127449555555556
fednova,adam,0.1695,0.3728,0.1314488368485719,0.7708334499999999
fednova,adam,0.4686,0.548,0.4569291423338651,0.8974571722222222
fednova,adam,0.3497,0.3497,0.3013859141253643,0.8786527388888888
fednova,adam,0.5024,0.5024,0.4612298777555269,0.8940809055555554
fednova,adam,0.3836,0.3836,0.356105683195636,0.861645738888889
fednova,adam,0.3236,0.3381,0.2605056900002253,0.8550039944444444
fednova,adam,0.4854,0.5252,0.4329011931358398,0.9071527666666668
fednova,adam,0.5997,0.6006,0.5872962359717806,0.9235839
fednova,adam,0.4232,0.5198,0.3925461893578489,0.8891265833333334
fednova,adam,0.5791,0.5953,0.5631207434357656,0.9217051555555557
fednova,adam,0.6674,0.6674,0.6652518570177915,0.9431944222222224
fednova,adam,0.6257,0.6308,0.6179217620585814,0.930527561111111
fednova,adam,0.6437,0.6474,0.6396480440341912,0.9394183
fednova,adam,0.6367,0.6402,0.6322658345081383,0.9325414222222224
fednova,adam,0.6738,0.6757,0.6660329129364506,0.9455792444444444
fednova,adam,0.6769,0.6769,0.6741190727297612,0.9458887444444444
fednova,adam,0.6651,0.6651,0.6606270926990366,0.944666338888889
fednova,adam,0.688,0.688,0.6820792318854723,0.950314427777778
fednova,adam,0.2784,0.4883,0.2155789771000354,0.7424279444444444
fednova,adam,0.1439,0.3361,0.0603052816612733,0.6058580222222223
fednova,adam,0.1646,0.3745,0.0908878679036856,0.6557919777777778
fednova,adam,0.1,0.3236,0.0181818181818181,0.5
fednova,adam,0.4291,0.525,0.4008040707710422,0.8849294666666667
fednova,adam,0.1712,0.3989,0.1038610282737468,0.7379264611111112
fednova,adam,0.2953,0.388,0.2119232328106456,0.7980452055555556
fednova,adam,0.1333,0.2725,0.0762839974993524,0.6238624611111111
fednova,adam,0.1,0.4142,0.0181818181818181,0.5
fednova,adam,0.1982,0.3432,0.1145032971166605,0.6748895277777778
fednova,adam,0.1,0.2355,0.0181818181818181,0.5
fednova,adam,0.1135,0.3073,0.0406404856534973,0.6052949944444445
fednova,adam,0.3814,0.3911,0.308441629878144,0.8627145388888889
fednova,adam,0.1436,0.3736,0.0824659262000163,0.6424205166666667
fednova,adam,0.2085,0.3494,0.1427030269401033,0.7253886777777778
fednova,adam,0.1023,0.3049,0.0248560067842454,0.5239489555555555
fednova,adam,0.1587,0.404,0.08454597003283,0.6913841722222223
fednova,adam,0.2908,0.4196,0.2449211401276447,0.7993195777777777
fednova,adam,0.1789,0.3305,0.1394812485093907,0.7499941166666666
fednova,adam,0.1481,0.375,0.0649272623265741,0.6758229499999999
fedprox,adam,0.5419,0.5419,0.4997607861156898,0.9218839555555556
fedprox,adam,0.575,0.575,0.5423117194586489,0.9092979111111112
fedprox,adam,0.6188,0.6224,0.6076773539432067,0.9296111444444446
fedprox,adam,0.6156,0.6156,0.603487038641396,0.9308095444444444
fedprox,adam,0.7329,0.7329,0.7315564566399686,0.9602363277777776
fedprox,adam,0.4023,0.409,0.3934900497085274,0.8161117222222222
fedprox,adam,0.7063,0.7221,0.7068199761875285,0.95562395
fedprox,adam,0.7288,0.7328,0.7300314886546821,0.9591228611111112
fedprox,adam,0.6084,0.611,0.5882414520003781,0.9302792722222222
fedprox,adam,0.6506,0.655,0.6409937888166369,0.939736711111111
fedprox,adam,0.5854,0.5894,0.5808495279459611,0.9250259
fedprox,adam,0.6027,0.6027,0.5668738634160888,0.9225833388888888
fedprox,adam,0.7096,0.7188,0.7096594133324178,0.953886977777778
fedprox,adam,0.7201,0.7237,0.719492659480885,0.9570557888888892
fedprox,adam,0.7355,0.7428,0.7357936757961955,0.9609053111111112
fedprox,adam,0.6843,0.6893,0.6837975372031107,0.9420219722222224
fedprox,adam,0.6156,0.6156,0.6046651487403736,0.9314065833333334
fedprox,adam,0.6573,0.6573,0.650009023579918,0.9385971
fedprox,adam,0.5587,0.5596,0.5443295904892025,0.9135658888888888
fedprox,adam,0.5861,0.5891,0.5607279913918088,0.9213539166666668
fedprox,adam,0.5148,0.5148,0.4833013506635687,0.90822205
fedprox,adam,0.4516,0.4516,0.4149617558342432,0.8877370722222221
fedprox,adam,0.5433,0.5433,0.5177557124901915,0.9076868666666666
fedprox,adam,0.5254,0.5254,0.4747443340422396,0.9051900388888888
fedprox,adam,0.6485,0.6485,0.6420485715825438,0.9377026555555557
fedprox,adam,0.6196,0.6196,0.6058533876594808,0.9338160777777776
fedprox,adam,0.6325,0.6372,0.6331597730885686,0.9346233944444444
fedprox,adam,0.5752,0.5758,0.5479408068131393,0.913493388888889
fedprox,adam,0.6642,0.6642,0.6607245109435362,0.94338715
fedprox,adam,0.6731,0.6745,0.6701193523213812,0.9449170055555556
fedprox,adam,0.6603,0.6603,0.6565924504813332,0.9434902055555556
fedprox,adam,0.6768,0.6781,0.671046379615642,0.946547
fedprox,adam,0.6791,0.6795,0.6750632538704224,0.9472191277777776
fedprox,adam,0.6845,0.6846,0.6832636131908816,0.9490347333333334
fedprox,adam,0.68,0.6815,0.6763330508866984,0.9490509333333332
fedprox,adam,0.6736,0.674,0.6677752141681581,0.9445084222222222
fedprox,adam,0.6943,0.6951,0.6937080032426417,0.9508257833333332
fedprox,adam,0.6665,0.6666,0.664789152371468,0.9439598444444446
fedprox,adam,0.6928,0.6929,0.690507292883108,0.9506700555555556
fedprox,adam,0.6696,0.6774,0.6641293690502356,0.9436878166666668
fedprox,adam,0.7351,0.7393,0.7340319887078748,0.9596427166666668
fedprox,adam,0.7146,0.7267,0.7144624215940769,0.9550237222222222
fedprox,adam,0.7109,0.7124,0.7109545641362548,0.9530483166666668
fedprox,adam,0.7348,0.7428,0.7341158429061052,0.9596439944444444
fedprox,adam,0.6935,0.6935,0.693996770427362,0.9524039055555557
fedprox,adam,0.6756,0.6879,0.6720956520673833,0.94534335
fedprox,adam,0.6491,0.6778,0.650963157690043,0.94143705
fedprox,adam,0.6939,0.6984,0.6893340378049395,0.95038825
fedprox,adam,0.704,0.7075,0.7023909507324462,0.952106811111111
fedprox,adam,0.6238,0.6262,0.6216880935371957,0.9231671833333334
fedprox,adam,0.7028,0.7084,0.7012837444586227,0.9504118388888888
fedprox,adam,0.744,0.744,0.7440147153125901,0.9626290055555556
fedprox,adam,0.72,0.7229,0.7189863117810013,0.9555513
fedprox,adam,0.7233,0.7244,0.7225219082030744,0.9567131777777778
fedprox,adam,0.6961,0.7052,0.6959603631455272,0.9513036888888888
fedprox,adam,0.698,0.7008,0.6975837251684961,0.9482144388888888
fedprox,adam,0.7151,0.7165,0.714463888722337,0.9536815611111112
fedprox,adam,0.7144,0.7165,0.7133701016336549,0.9543005
fedprox,adam,0.7024,0.7037,0.7016601721656002,0.9524087277777776
fedprox,adam,0.7152,0.7182,0.7142331748238779,0.9554648611111112
fedprox,adam,0.6971,0.6988,0.6967389856417465,0.9506719388888888
fedprox,adam,0.7314,0.7366,0.7307547709380389,0.9599895833333332
fedprox,adam,0.7045,0.7114,0.7036079203365462,0.9520867444444444
fedprox,adam,0.7311,0.7325,0.7290358607981814,0.9581294055555556
fedavg,sgd,0.5884,0.6113,0.5762386766743793,0.9293654444444444
fedavg,sgd,0.6375,0.6484,0.6275089058288174,0.9382338888888888
fedavg,sgd,0.6478,0.6509,0.6482931274425126,0.9379716833333334
fedavg,sgd,0.592,0.6214,0.591076092350715,0.9265593
fedavg,sgd,0.7001,0.7018,0.6996851033728142,0.949674438888889
fedavg,sgd,0.7309,0.7322,0.7298566664377053,0.9592801277777776
fedavg,sgd,0.7612,0.7612,0.7603110766271366,0.9680589722222224
fedavg,sgd,0.7506,0.7527,0.749830307037125,0.9626880444444444
fednova,sgd,0.5009,0.5633,0.4676406348802215,0.9051431166666668
fednova,sgd,0.5661,0.5661,0.5384629557999757,0.9250023944444444
fednova,sgd,0.4253,0.5253,0.3975214640195658,0.8880838888888889
fednova,sgd,0.4566,0.4914,0.4341767166836156,0.8929908333333334
fednova,sgd,0.1708,0.5463,0.1311766673550052,0.6431818222222223
fednova,sgd,0.1,0.4561,0.0181818181818181,0.0
fednova,sgd,0.1,0.5766,0.0181818181818181,0.0
fednova,sgd,0.1,0.6538,0.0181818181818181,0.5
fedprox,sgd,0.5649,0.5758,0.5409075316368543,0.9247749777777778
fedprox,sgd,0.598,0.598,0.5931457054518969,0.9233220888888892
fedprox,sgd,0.5962,0.5962,0.5897522186663393,0.9211373833333332
fedprox,sgd,0.6319,0.6319,0.6179228131048518,0.9327339722222222
fedprox,sgd,0.6941,0.6954,0.6935445223621113,0.9488197888888892
fedprox,sgd,0.761,0.7624,0.760521618763517,0.9669625166666668
fedprox,sgd,0.7649,0.7668,0.7642283499577306,0.9686786166666668
fedprox,sgd,0.6175,0.6175,0.6161926875432899,0.9220632555555556
